--------- beginning of main
03-03 05:14:10.651 W/auditd  (  336): type=2000 audit(0.0:1): initialized
--------- beginning of system
03-03 05:14:13.488 I/vold    (  339): Vold 3.0 (the awakening) firing up
03-03 05:14:13.488 V/vold    (  339): Detected support for: ext4 vfat
03-03 05:14:13.751 I/rmt_storage(  373): Shared memory initialised successfully.
03-03 05:14:13.822 E/QSEECOMD: (  391): Listener: index = 4, hierarchy = 1
03-03 05:14:13.823 D/DrmLibTime(  391): QSEE Time Listener: dispatch
03-03 05:14:13.823 D/QSEECOMD: (  391): Init dlopen(libdrmfs.so, RTLD_NOW) succeeds
03-03 05:14:13.823 D/DrmLibTime(  391): before calling ioctl to read the next time_cmd
03-03 05:14:13.823 D/QSEECOMD: (  391): Init::Init dlsym(g_FSHandle fs_start) succeeds
03-03 05:14:13.823 D/QSEECOMAPI: (  391): QSEECom_register_listener 10 sb_length = 0x5000
03-03 05:14:13.826 D/QSEECOMD: (  391): Init fs_start ret = 0
03-03 05:14:13.826 D/QSEECOMD: (  391): file system services: Started (Listener ID = 10)
03-03 05:14:13.826 E/QSEECOMD: (  391): Listener: index = 5, hierarchy = 1
03-03 05:14:13.827 E/QSEECOMD: (  391): Init dlopen(libmdtp.so, RLTD_NOW) is failed....
03-03 05:14:13.827 E/QSEECOMD: (  391): Listener: index = 6, hierarchy = 1
03-03 05:14:13.827 D/QSEECOMD: (  391): Init dlopen(libdrmfs.so, RTLD_NOW) succeeds
03-03 05:14:13.827 D/QSEECOMD: (  391): Init::Init dlsym(g_FSHandle gpfs_start) succeeds
03-03 05:14:13.827 D/QSEECOMAPI: (  391): QSEECom_register_listener 28672 sb_length = 0x7e000
03-03 05:14:13.829 D/QSEECOMD: (  391): Init gpfs_start ret = 0
03-03 05:14:13.829 D/QSEECOMD: (  391): gpfile system services: Started (Listener ID = 28672)
03-03 05:14:13.829 D/QSEECOMAPI: (  391): QSEECom_get_handle sb_length = 0x400
03-03 05:14:13.829 D/QSEECOMAPI: (  391): App is not loaded in QSEE
03-03 05:14:13.831 E/QSEECOMAPI: (  391): Error::Cannot open the file /firmware/image/keymaste.mdt
03-03 05:14:13.831 E/QSEECOMAPI: (  391): Error::Loading image failed with ret = -1
03-03 05:14:13.831 E/QSEECOMD: (  391): Loading keymaster app failed
03-03 05:14:13.831 D/QSEECOMD: (  391): QSEECOM DAEMON RUNNING
03-03 05:14:13.863 I/SurfaceFlinger(  372): SurfaceFlinger is starting
03-03 05:14:13.864 I/SurfaceFlinger(  372): SurfaceFlinger's main thread ready to run. Initializing graphics H/W...
03-03 05:14:13.872 D/libEGL  (  372): loaded /vendor/lib64/egl/libEGL_adreno.so
03-03 05:14:13.921 D/VoldCryptCmdListener(  339): cryptfs mountdefaultencrypted
03-03 05:14:13.921 I/Ext4Crypt(  339): ext4 crypto complete called on /data
03-03 05:14:13.921 I/Ext4Crypt(  339): No master key, so not ext4enc
03-03 05:14:13.923 I/Cryptfs (  339): cryptfs_check_passwd
03-03 05:14:13.923 I/Ext4Crypt(  339): ext4 crypto complete called on /data
03-03 05:14:13.923 I/Ext4Crypt(  339): No master key, so not ext4enc
03-03 05:14:13.923 D/Cryptfs (  339): crypt_ftr->fs_size = 22994908
03-03 05:14:13.924 I/Cryptfs (  339): Using scrypt with keymaster for cryptfs KDF
03-03 05:14:13.930 E/PerMgrProxy(  407): Starting pm-proxy service
03-03 05:14:13.930 I/libmdmdetect(  407): ESOC framework not supported
03-03 05:14:13.930 I/libmdmdetect(  407): Found internal modem: modem
03-03 05:14:13.931 I/PerMgrProxy(  407): Found internal modem
03-03 05:14:13.931 D/PerMgrSrv(  374): modem state: is off-line, add client PM-PROXY-THREAD
03-03 05:14:13.932 D/PerMgrSrv(  374): PM-PROXY-THREAD registered
03-03 05:14:13.932 D/PerMgrLib(  407): PM-PROXY-THREAD successfully registered for modem
03-03 05:14:13.932 I/PerMgrProxy(  407): pm-proxy-thread Voting for internal modem
03-03 05:14:13.932 D/PerMgrLib(  407): PM-PROXY-THREAD voting for modem
03-03 05:14:13.932 D/PerMgrSrv(  374): PM-PROXY-THREAD voting for modem
03-03 05:14:13.932 D/PerMgrSrv(  374): modem new state: going on-line
03-03 05:14:13.933 D/PerMgrSrv(  374): modem num voters is 1
03-03 05:14:14.047 D/libEGL  (  372): loaded /vendor/lib64/egl/libGLESv1_CM_adreno.so
03-03 05:14:14.061 D/libEGL  (  372): loaded /vendor/lib64/egl/libGLESv2_adreno.so
03-03 05:14:14.080 D/vold    (  339): Disk at 253:0 changed
03-03 05:14:14.088 I/Adreno  (  372): QUALCOMM build                   : 63c06b2, I8366cd0437
03-03 05:14:14.088 I/Adreno  (  372): Build Date                       : 10/21/15
03-03 05:14:14.088 I/Adreno  (  372): OpenGL ES Shader Compiler Version: XE031.05.13.02
03-03 05:14:14.088 I/Adreno  (  372): Local Branch                     :
03-03 05:14:14.088 I/Adreno  (  372): Remote Branch                    : quic/LA.BF64.1.2.9_v2
03-03 05:14:14.088 I/Adreno  (  372): Remote Branch                    : NONE
03-03 05:14:14.088 I/Adreno  (  372): Reconstruct Branch               : NOTHING
03-03 05:14:14.262 I/qdutils (  372): PartialUpdate status: Enabled
03-03 05:14:14.263 I/qdutils (  372): Left Align: 0
03-03 05:14:14.264 I/qdutils (  372): Width Align: 0
03-03 05:14:14.264 I/qdutils (  372): Top Align: 16
03-03 05:14:14.264 I/qdutils (  372): Height Align: 16
03-03 05:14:14.264 I/qdutils (  372): Min ROI Width: 1080
03-03 05:14:14.264 I/qdutils (  372): Min ROI Height: 0
03-03 05:14:14.264 I/qdutils (  372): Needs ROI Merge: 0
03-03 05:14:14.264 I/qdutils (  372): Dynamic Fps: Disabled
03-03 05:14:14.264 I/qdutils (  372): Min Panel fps: 0
03-03 05:14:14.264 I/qdutils (  372): Max Panel fps: 0
03-03 05:14:14.267 D/qdutils (  372): int qdutils::getHDMINode(): fb node 2 not present
03-03 05:14:14.267 I/qdutils (  372): int qdutils::getHDMINode(): No HDMI node on this device
03-03 05:14:14.269 W/qdhwcomposer(  372): Unable to load libmm-qdcm
03-03 05:14:14.270 I/qdhwcomposer(  372): Initializing Qualcomm Hardware Composer
03-03 05:14:14.271 I/qdhwcomposer(  372): MDP version: 500
03-03 05:14:14.272 I/SurfaceFlinger(  372): Using composer version 1.5
03-03 05:14:14.272 I/qdhwcomposer(  372): hwc_registerProcs
03-03 05:14:14.273 I/qdhwcomposer(  372): Initializing UEVENT Thread
03-03 05:14:14.274 I/qdhwcomposer(  372): Initializing VSYNC Thread
03-03 05:14:14.275 D/qdhwcomposer(  372): hwc_getDisplayAttributes disp = 0, width = 1080
03-03 05:14:14.275 I/qdhwcomposer(  372): vsync_loop: Reading event 0 for dpy 0 from /sys/class/graphics/fb0/vsync_event
03-03 05:14:14.276 D/qdhwcomposer(  372): hwc_getDisplayAttributes disp = 0, height = 1920
03-03 05:14:14.276 I/qdhwcomposer(  372): vsync_loop: Reading event 1 for dpy 0 from /sys/class/graphics/fb0/show_blank_event
03-03 05:14:14.276 E/qdhwcomposer(  372): hwc_getDisplayConfigs display (1) is inactive
03-03 05:14:14.276 I/qdhwcomposer(  372): vsync_loop: Reading event 2 for dpy 0 from /sys/class/graphics/fb0/msm_fb_thermal_level
03-03 05:14:14.277 I/qdhwcomposer(  372): vsync_loop: Reading event 0 for dpy 1 from /sys/class/graphics/fb-1/vsync_event
03-03 05:14:14.278 I/qdhwcomposer(  372): vsync_loop: Reading event 1 for dpy 1 from /sys/class/graphics/fb-1/show_blank_event
03-03 05:14:14.279 I/SurfaceFlinger(  372): EGL information:
03-03 05:14:14.279 I/qdhwcomposer(  372): vsync_loop: Reading event 2 for dpy 1 from /sys/class/graphics/fb-1/msm_fb_thermal_level
03-03 05:14:14.279 I/SurfaceFlinger(  372): vendor    : Android
03-03 05:14:14.279 I/SurfaceFlinger(  372): version   : 1.4 Android META-EGL
03-03 05:14:14.280 I/SurfaceFlinger(  372): extensions: EGL_KHR_get_all_proc_addresses EGL_ANDROID_presentation_time EGL_KHR_swap_buffers_with_damage EGL_KHR_image EGL_KHR_image_base EGL_KHR_lock_surface EGL_KHR_gl_texture_2D_image EGL_KHR_gl_texture_3D_image EGL_KHR_gl_texture_cubemap_image EGL_KHR_gl_renderbuffer_image EGL_KHR_reusable_sync EGL_KHR_fence_sync EGL_KHR_create_context EGL_KHR_surfaceless_context EGL_EXT_create_context_robustness EGL_ANDROID_image_native_buffer EGL_KHR_wait_sync EGL_ANDROID_recordable EGL_KHR_partial_update EGL_KHR_create_context_no_error
03-03 05:14:14.281 I/SurfaceFlinger(  372): Client API: OpenGL_ES
03-03 05:14:14.282 I/SurfaceFlinger(  372): EGLSurface: 8-8-8-8, config=0x7faaa11900
03-03 05:14:14.287 I/SurfaceFlinger(  372): OpenGL ES informations:
03-03 05:14:14.288 I/SurfaceFlinger(  372): vendor    : Qualcomm
03-03 05:14:14.289 I/SurfaceFlinger(  372): renderer  : Adreno (TM) 418
03-03 05:14:14.291 I/SurfaceFlinger(  372): version   : OpenGL ES 3.1 V@127.0 (GIT@I8366cd0437)
03-03 05:14:14.292 I/SurfaceFlinger(  372): extensions: GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_EGL_sync GL_OES_vertex_half_float GL_OES_framebuffer_object GL_OES_rgb8_rgba8 GL_OES_compressed_ETC1_RGB8_texture GL_AMD_compressed_ATC_texture GL_KHR_texture_compression_astc_ldr GL_OES_texture_npot GL_EXT_texture_filter_anisotropic GL_EXT_texture_format_BGRA8888 GL_OES_texture_3D GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_QCOM_alpha_test GL_OES_depth24 GL_OES_packed_depth_stencil GL_OES_depth_texture GL_OES_depth_texture_cube_map GL_EXT_sRGB GL_OES_texture_float GL_OES_texture_float_linear GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_EXT_texture_type_2_10_10_10_REV GL_EXT_texture_sRGB_decode GL_OES_element_index_uint GL_EXT_copy_image GL_EXT_geometry_shader GL_EXT_tessellation_shader GL_OES_texture_stencil8 GL_EXT_shader_io_blocks GL_OES_shader_image_atomic GL_OES_sample_variables GL_EXT_texture_border_clamp GL_EXT_multisampled_render_to_texture GL_OES_shader_multisample_interpolation GL_EXT_texture_cube_map_arr
03-03 05:14:14.292 I/SurfaceFlinger(  372): GL_MAX_TEXTURE_SIZE = 16384
03-03 05:14:14.293 I/SurfaceFlinger(  372): GL_MAX_VIEWPORT_DIMS = 16384
03-03 05:14:14.296 D/SurfaceFlinger(  372): Set power mode=2, type=0 flinger=0x7faaa03c00
03-03 05:14:14.297 D/qdhwcomposer(  372): hwc_setPowerMode: Setting mode 2 on display: 0
03-03 05:14:14.298 D/qdhwcomposer(  372): hwc_setPowerMode: Done setting mode 2 on display 0
03-03 05:14:14.298 I/qdhwcomposer(  372): handle_blank_event: dpy:0 panel power state: 1
03-03 05:14:14.452 D/vold    (  339): Disk at 253:0 changed
03-03 05:14:14.471 D/libEGL  (  435): loaded /vendor/lib64/egl/libEGL_adreno.so
03-03 05:14:14.499 I/Cryptfs (  339): keymaster module name is Keymaster QTI HAL
03-03 05:14:14.500 I/Cryptfs (  339): keymaster version is 256
03-03 05:14:14.500 I/Cryptfs (  339): Found keymaster1 module, using keymaster1 API.
03-03 05:14:14.501 D/QSEECOMAPI: (  339): QSEECom_get_handle sb_length = 0xa000
03-03 05:14:14.501 D/QSEECOMAPI: (  339): App is already loaded QSEE and app id = 3
03-03 05:14:14.513 D/libEGL  (  435): loaded /vendor/lib64/egl/libGLESv1_CM_adreno.so
03-03 05:14:14.513 E/keymaster1_device(  339): TA API Major Verion: 1
03-03 05:14:14.513 E/keymaster1_device(  339): TA API Minor Verion: 0
03-03 05:14:14.513 E/keymaster1_device(  339): TA Major Verion: 1
03-03 05:14:14.514 E/keymaster1_device(  339): TA Minor Verion: 5
03-03 05:14:14.514 I/Cryptfs (  339): Signing safely-padded object
03-03 05:14:14.519 D/libEGL  (  435): loaded /vendor/lib64/egl/libGLESv2_adreno.so
03-03 05:14:14.529 I/Adreno  (  435): QUALCOMM build                   : 63c06b2, I8366cd0437
03-03 05:14:14.529 I/Adreno  (  435): Build Date                       : 10/21/15
03-03 05:14:14.529 I/Adreno  (  435): OpenGL ES Shader Compiler Version: XE031.05.13.02
03-03 05:14:14.529 I/Adreno  (  435): Local Branch                     :
03-03 05:14:14.529 I/Adreno  (  435): Remote Branch                    : quic/LA.BF64.1.2.9_v2
03-03 05:14:14.529 I/Adreno  (  435): Remote Branch                    : NONE
03-03 05:14:14.529 I/Adreno  (  435): Reconstruct Branch               : NOTHING
03-03 05:14:14.541 E/BootAnimation(  435): couldn't find audio_conf.txt
03-03 05:14:14.551 D/DrmLibTime(  391): got the req here! ret=0
03-03 05:14:14.551 D/DrmLibTime(  391): command id, time_cmd_id = 770
03-03 05:14:14.551 D/DrmLibTime(  391): time_getutcsec starts!
03-03 05:14:14.551 D/DrmLibTime(  391): QSEE Time Listener: time_getutcsec
03-03 05:14:14.551 D/DrmLibTime(  391): QSEE Time Listener: get_utc_seconds
03-03 05:14:14.551 D/DrmLibTime(  391): QSEE Time Listener: time_get_modem_time
03-03 05:14:14.551 D/DrmLibTime(  391): QSEE Time Listener: Checking if ATS_MODEM is set or not.
03-03 05:14:14.551 D/QC-time-services(  391): Lib:time_genoff_operation: pargs->base = 13
03-03 05:14:14.551 D/QC-time-services(  391): Lib:time_genoff_operation: pargs->operation = 2
03-03 05:14:14.551 D/QC-time-services(  391): Lib:time_genoff_operation: pargs->ts_val = 0
03-03 05:14:14.551 E/QC-time-services(  391): Lib:time_genoff_operation: Connection failed !!
03-03 05:14:14.552 D/DrmLibTime(  391): QSEE Time Listener: ATS_MODEM is not set. Fallback to Android system time.
03-03 05:14:14.552 D/DrmLibTime(  391): QSEE Time Listener: Retrieved Android system time: 5285654
03-03 05:14:14.553 D/DrmLibTime(  391): time_getutcsec returns 0, sec = 5285654; nsec = 0
03-03 05:14:14.553 D/DrmLibTime(  391): time_getutcsec finished!
03-03 05:14:14.553 D/DrmLibTime(  391): iotcl_continue_command finished! and return 0
03-03 05:14:14.554 D/DrmLibTime(  391): before calling ioctl to read the next time_cmd
03-03 05:14:14.603 E/keymaster1_device(  339): HwKmClose
03-03 05:14:14.604 D/QSEECOMAPI: (  339): QSEECom_dealloc_memory
03-03 05:14:14.605 D/QSEECOMAPI: (  339): QSEECom_shutdown_app, app_id = 3
03-03 05:14:15.112 I/Cryptfs (  339): Enabling support for allow_discards in dmcrypt.
03-03 05:14:15.114 D/vold    (  339): Disk at 253:2 changed
03-03 05:14:15.116 D/SurfaceFlinger(  372): shader cache generated - 24 shaders in 365.511261 ms
03-03 05:14:15.130 D/qdutils (  372): DEBUG_CALC_FPS: 0
03-03 05:14:15.130 D/qdutils (  372): period: 10
03-03 05:14:15.130 D/qdutils (  372): ignorethresh_us: 500000
03-03 05:14:15.591 D/PerMgrSrv(  374): modem new state: is on-line
03-03 05:14:15.609 I/Cryptfs (  339): Password matches
03-03 05:14:15.609 D/Cryptfs (  339): test_mount_encrypted_fs(): Master key saved
03-03 05:14:15.610 I/Cryptfs (  339): keymaster module name is Keymaster QTI HAL
03-03 05:14:15.610 I/Cryptfs (  339): keymaster version is 256
03-03 05:14:15.610 I/Cryptfs (  339): Found keymaster1 module, using keymaster1 API.
03-03 05:14:15.610 D/QSEECOMAPI: (  339): QSEECom_get_handle sb_length = 0xa000
03-03 05:14:15.610 D/QSEECOMAPI: (  339): App is already loaded QSEE and app id = 3
03-03 05:14:15.612 E/keymaster1_device(  339): TA API Major Verion: 1
03-03 05:14:15.612 E/keymaster1_device(  339): TA API Minor Verion: 0
03-03 05:14:15.612 E/keymaster1_device(  339): TA Major Verion: 1
03-03 05:14:15.612 E/keymaster1_device(  339): TA Minor Verion: 5
03-03 05:14:15.612 E/keymaster1_device(  339): HwKmClose
03-03 05:14:15.612 D/QSEECOMAPI: (  339): QSEECom_dealloc_memory
03-03 05:14:15.612 D/QSEECOMAPI: (  339): QSEECom_shutdown_app, app_id = 3
03-03 05:14:15.612 D/Cryptfs (  339): Password is default - restarting filesystem
03-03 05:14:15.613 D/Cryptfs (  339): unmounting /data succeeded
03-03 05:14:15.654 I/rmt_storage(  373): rmt_storage_connect_cb: clnt_h=0x1 conn_h=0x7f908ba000
03-03 05:14:15.654 I/rmt_storage(  373): rmt_storage_open_cb: /boot/modem_fs1: clnt_h=0x1: req_h=0x1 msg_id=1: Client found
03-03 05:14:15.655 I/rmt_storage(  373): rmt_storage_open_cb: /boot/modem_fs1: clnt_h=0x1: req_h=0x1 msg_id=1: Send response: res=0 err=0
03-03 05:14:15.655 I/rmt_storage(  373): rmt_storage_client_thread: /boot/modem_fs1: clnt_h=0x1 Worker thread started
03-03 05:14:15.655 I/rmt_storage(  373): wake lock name: rmt_storage_547882267712, name creation success: 24
03-03 05:14:15.655 I/rmt_storage(  373): rmt_storage_disconnect_cb: clnt_h=0x1 conn_h=0x7f908ba000
03-03 05:14:15.655 I/rmt_storage(  373): rmt_storage_connect_cb: clnt_h=0x2 conn_h=0x7f908ba000
03-03 05:14:15.655 I/rmt_storage(  373): rmt_storage_open_cb: /boot/modem_fs2: clnt_h=0x2: req_h=0x2 msg_id=1: Client found
03-03 05:14:15.655 I/rmt_storage(  373): rmt_storage_client_thread: /boot/modem_fs2: clnt_h=0x2 Worker thread started
03-03 05:14:15.655 I/rmt_storage(  373): rmt_storage_open_cb: /boot/modem_fs2: clnt_h=0x2: req_h=0x2 msg_id=1: Send response: res=0 err=0
03-03 05:14:15.655 I/rmt_storage(  373): wake lock name: rmt_storage_547881202752, name creation success: 24
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_disconnect_cb: clnt_h=0x2 conn_h=0x7f908ba000
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_connect_cb: clnt_h=0x3 conn_h=0x7f908ba000
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_open_cb: /boot/modem_fsg: clnt_h=0x3: req_h=0x3 msg_id=1: Client found
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_client_thread: /boot/modem_fsg: clnt_h=0x3 Worker thread started
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_open_cb: /boot/modem_fsg: clnt_h=0x3: req_h=0x3 msg_id=1: Send response: res=0 err=0
03-03 05:14:15.656 I/rmt_storage(  373): wake lock name: rmt_storage_547880137792, name creation success: 24
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_disconnect_cb: clnt_h=0x3 conn_h=0x7f908ba000
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_connect_cb: clnt_h=0x4 conn_h=0x7f908ba000
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_open_cb: /boot/modem_fsc: clnt_h=0x4: req_h=0x4 msg_id=1: Client found
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_client_thread: /boot/modem_fsc: clnt_h=0x4 Worker thread started
03-03 05:14:15.656 I/rmt_storage(  373): rmt_storage_open_cb: /boot/modem_fsc: clnt_h=0x4: req_h=0x4 msg_id=1: Send response: res=0 err=0
03-03 05:14:15.656 I/rmt_storage(  373): wake lock name: rmt_storage_547879072832, name creation success: 24
03-03 05:14:15.657 I/rmt_storage(  373): rmt_storage_disconnect_cb: clnt_h=0x4 conn_h=0x7f908ba000
03-03 05:14:15.657 I/rmt_storage(  373): rmt_storage_connect_cb: clnt_h=0x5 conn_h=0x7f908ba000
03-03 05:14:15.657 I/rmt_storage(  373): rmt_storage_alloc_buff_cb: /boot/modem_fs1: clnt_h=0x5: req_h=0x5 msg_id=4: Alloc request received: Size: 0
03-03 05:14:15.657 I/rmt_storage(  373): rmt_storage_alloc_buff_cb: /boot/modem_fs1: clnt_h=0x5: req_h=0x5 msg_id=4: New client making a dummy request with buffer req size 0
03-03 05:14:15.657 I/rmt_storage(  373): rmt_storage_alloc_buff_cb: /boot/modem_fs1: clnt_h=0x5: req_h=0x5 msg_id=4: Send response: res=0 err=0
03-03 05:14:15.658 I/rmt_storage(  373): rmt_storage_disconnect_cb: clnt_h=0x5 conn_h=0x7f908ba000
03-03 05:14:15.658 I/rmt_storage(  373): rmt_storage_connect_cb: clnt_h=0x6 conn_h=0x7f908ba000
03-03 05:14:15.658 I/rmt_storage(  373): rmt_storage_rw_iovec_cb: /boot/modem_fs1: clnt_h=0x6: req_h=0x6 msg_id=3: R/W request received
03-03 05:14:15.658 I/rmt_storage(  373): wakelock acquired: 1, error no: 42
