--------- beginning of main
03-03 07:01:51.590 W/auditd  (  335): type=2000 audit(0.0:1): initialized
--------- beginning of system
03-03 07:01:54.521 I/vold    (  338): Vold 3.0 (the awakening) firing up
03-03 07:01:54.521 V/vold    (  338): Detected support for: ext4 vfat
03-03 07:01:54.778 I/rmt_storage(  369): Shared memory initialised successfully.
03-03 07:01:54.813 D/QSEECOMD: (  383): RPMB system services: Started (Listener ID = 8192)
03-03 07:01:54.813 E/QSEECOMD: (  383): Listener: index = 1, hierarchy = 1
03-03 07:01:54.813 D/QSEECOMD: (  383): Init dlopen(libssd.so, RTLD_NOW) succeeds
03-03 07:01:54.813 D/QSEECOMD: (  383): Init::Init dlsym(g_FSHandle ssd_start) succeeds
03-03 07:01:54.814 D/QSEECOMAPI: (  383): QSEECom_register_listener 12288 sb_length = 0x5000
03-03 07:01:54.814 D/QSEECOMD: (  383): Init ssd_start ret = 0
03-03 07:01:54.814 D/QSEECOMD: (  383): SSD system services: Started (Listener ID = 12288)
03-03 07:01:54.814 E/QSEECOMD: (  383): Listener: index = 2, hierarchy = 1
03-03 07:01:54.814 E/QSEECOMD: (  383): Init dlopen(libsecureui.so, RLTD_NOW) is failed....
03-03 07:01:54.814 E/QSEECOMD: (  383): Listener: index = 3, hierarchy = 1
03-03 07:01:54.819 D/QSEECOMD: (  383): Init dlopen(libdrmtime.so, RTLD_NOW) succeeds
03-03 07:01:54.819 D/QSEECOMD: (  383): Init::Init dlsym(g_FSHandle atime_start) succeeds
03-03 07:01:54.819 D/DrmLibTime(  383): QSEE Time Listener: atime_start
03-03 07:01:54.819 D/QSEECOMAPI: (  383): QSEECom_register_listener 11 sb_length = 0x5000
03-03 07:01:54.832 I/libmdmdetect(  370): ESOC framework not supported
03-03 07:01:54.832 D/DrmLibTime(  383): registering fs service to QSEECom is done!
03-03 07:01:54.832 D/DrmLibTime(  383): begin to create a thread!
03-03 07:01:54.832 D/DrmLibTime(  383): Creating a pthread in atime_start is done! return 0
03-03 07:01:54.832 D/QSEECOMD: (  383): Init atime_start ret = 0
03-03 07:01:54.832 D/DrmLibTime(  383): QSEE Time Listener: dispatch
03-03 07:01:54.832 D/QSEECOMD: (  383): time services: Started (Listener ID = 11)
03-03 07:01:54.832 E/QSEECOMD: (  383): Listener: index = 4, hierarchy = 1
03-03 07:01:54.832 D/DrmLibTime(  383): before calling ioctl to read the next time_cmd
03-03 07:01:54.832 D/QSEECOMD: (  383): Init dlopen(libdrmfs.so, RTLD_NOW) succeeds
03-03 07:01:54.832 I/libmdmdetect(  370): Found internal modem: modem
03-03 07:01:54.832 D/QSEECOMD: (  383): Init::Init dlsym(g_FSHandle fs_start) succeeds
03-03 07:01:54.832 D/QSEECOMAPI: (  383): QSEECom_register_listener 10 sb_length = 0x5000
03-03 07:01:54.833 D/QSEECOMD: (  383): Init fs_start ret = 0
03-03 07:01:54.833 D/QSEECOMD: (  383): file system services: Started (Listener ID = 10)
03-03 07:01:54.833 E/QSEECOMD: (  383): Listener: index = 5, hierarchy = 1
03-03 07:01:54.834 E/QSEECOMD: (  383): Init dlopen(libmdtp.so, RLTD_NOW) is failed....
03-03 07:01:54.834 E/QSEECOMD: (  383): Listener: index = 6, hierarchy = 1
03-03 07:01:54.834 D/QSEECOMD: (  383): Init dlopen(libdrmfs.so, RTLD_NOW) succeeds
03-03 07:01:54.834 D/QSEECOMD: (  383): Init::Init dlsym(g_FSHandle gpfs_start) succeeds
03-03 07:01:54.834 D/QSEECOMAPI: (  383): QSEECom_register_listener 28672 sb_length = 0x7e000
03-03 07:01:54.834 I/PerMgrSrv(  370): Peripheral Mananager service start
03-03 07:01:54.834 I/PerMgrSrv(  370): power-off timeout 500,ms; event-ack timeout 200,ms; debug-mode false
03-03 07:01:54.834 I/PerMgrSrv(  370): Statistics for : modem
03-03 07:01:54.834 I/PerMgrSrv(  370): modem: Current State : is off-line
03-03 07:01:54.835 I/PerMgrSrv(  370): modem: Voter/Listener count : 0/0
03-03 07:01:54.835 I/PerMgrSrv(  370): modem: Power on count : 0
03-03 07:01:54.835 I/PerMgrSrv(  370): modem: Power off count: 0
03-03 07:01:54.835 I/PerMgrSrv(  370): modem: Client list:
03-03 07:01:54.836 I/PerMgrSrv(  370): QMI service start
03-03 07:01:54.838 D/QSEECOMD: (  383): Init gpfs_start ret = 0
03-03 07:01:54.838 D/QSEECOMD: (  383): gpfile system services: Started (Listener ID = 28672)
03-03 07:01:54.839 D/QSEECOMAPI: (  383): QSEECom_get_handle sb_length = 0x400
03-03 07:01:54.839 D/QSEECOMAPI: (  383): App is not loaded in QSEE
03-03 07:01:54.851 E/QSEECOMAPI: (  383): Error::Cannot open the file /firmware/image/keymaste.mdt
03-03 07:01:54.851 E/QSEECOMAPI: (  383): Error::Loading image failed with ret = -1
03-03 07:01:54.851 E/QSEECOMD: (  383): Loading keymaster app failed
03-03 07:01:54.851 D/QSEECOMD: (  383): QSEECOM DAEMON RUNNING 
03-03 07:01:54.891 I/SurfaceFlinger(  368): SurfaceFlinger is starting
03-03 07:01:54.892 I/SurfaceFlinger(  368): SurfaceFlinger's main thread ready to run. Initializing graphics H/W...
03-03 07:01:54.901 D/libEGL  (  368): loaded /vendor/lib64/egl/libEGL_adreno.so
03-03 07:01:54.951 D/VoldCryptCmdListener(  338): cryptfs mountdefaultencrypted
03-03 07:01:54.951 I/Ext4Crypt(  338): ext4 crypto complete called on /data
03-03 07:01:54.951 I/Ext4Crypt(  338): No master key, so not ext4enc
03-03 07:01:54.953 I/Cryptfs (  338): cryptfs_check_passwd
03-03 07:01:54.953 I/Ext4Crypt(  338): ext4 crypto complete called on /data
03-03 07:01:54.953 I/Ext4Crypt(  338): No master key, so not ext4enc
03-03 07:01:54.954 D/Cryptfs (  338): crypt_ftr->fs_size = 22994908
03-03 07:01:54.954 I/Cryptfs (  338): Using scrypt with keymaster for cryptfs KDF
03-03 07:01:54.965 E/PerMgrProxy(  405): Starting pm-proxy service
03-03 07:01:54.965 I/libmdmdetect(  405): ESOC framework not supported
03-03 07:01:54.966 I/libmdmdetect(  405): Found internal modem: modem
03-03 07:01:54.966 I/PerMgrProxy(  405): Found internal modem
03-03 07:01:54.967 D/PerMgrSrv(  370): modem state: is off-line, add client PM-PROXY-THREAD
03-03 07:01:54.967 D/PerMgrSrv(  370): PM-PROXY-THREAD registered
03-03 07:01:54.967 D/PerMgrLib(  405): PM-PROXY-THREAD successfully registered for modem
03-03 07:01:54.967 I/PerMgrProxy(  405): pm-proxy-thread Voting for internal modem
03-03 07:01:54.967 D/PerMgrLib(  405): PM-PROXY-THREAD voting for modem
03-03 07:01:54.967 D/PerMgrSrv(  370): PM-PROXY-THREAD voting for modem
03-03 07:01:54.967 D/PerMgrSrv(  370): modem new state: going on-line
03-03 07:01:54.967 D/PerMgrSrv(  370): modem num voters is 1
03-03 07:01:55.058 D/libEGL  (  368): loaded /vendor/lib64/egl/libGLESv1_CM_adreno.so
03-03 07:01:55.069 D/libEGL  (  368): loaded /vendor/lib64/egl/libGLESv2_adreno.so
03-03 07:01:55.085 D/vold    (  338): Disk at 253:0 changed
03-03 07:01:55.092 I/Adreno  (  368): QUALCOMM build                   : 63c06b2, I8366cd0437
03-03 07:01:55.092 I/Adreno  (  368): Build Date                       : 10/21/15
03-03 07:01:55.092 I/Adreno  (  368): OpenGL ES Shader Compiler Version: XE031.05.13.02
03-03 07:01:55.092 I/Adreno  (  368): Local Branch                     : 
03-03 07:01:55.092 I/Adreno  (  368): Remote Branch                    : quic/LA.BF64.1.2.9_v2
03-03 07:01:55.092 I/Adreno  (  368): Remote Branch                    : NONE
03-03 07:01:55.092 I/Adreno  (  368): Reconstruct Branch               : NOTHING
03-03 07:01:55.259 I/qdutils (  368): PartialUpdate status: Enabled
03-03 07:01:55.259 I/qdutils (  368): Left Align: 0
03-03 07:01:55.259 I/qdutils (  368): Width Align: 0
03-03 07:01:55.259 I/qdutils (  368): Top Align: 16
03-03 07:01:55.260 I/qdutils (  368): Height Align: 16
03-03 07:01:55.260 I/qdutils (  368): Min ROI Width: 1080
03-03 07:01:55.260 I/qdutils (  368): Min ROI Height: 0
03-03 07:01:55.260 I/qdutils (  368): Needs ROI Merge: 0
03-03 07:01:55.260 I/qdutils (  368): Dynamic Fps: Disabled
03-03 07:01:55.260 I/qdutils (  368): Min Panel fps: 0
03-03 07:01:55.260 I/qdutils (  368): Max Panel fps: 0
03-03 07:01:55.260 D/qdutils (  368): int qdutils::getHDMINode(): fb node 2 not present
03-03 07:01:55.260 I/qdutils (  368): int qdutils::getHDMINode(): No HDMI node on this device
03-03 07:01:55.263 W/qdhwcomposer(  368): Unable to load libmm-qdcm
03-03 07:01:55.263 I/qdhwcomposer(  368): Initializing Qualcomm Hardware Composer
03-03 07:01:55.263 I/qdhwcomposer(  368): MDP version: 500
03-03 07:01:55.264 I/SurfaceFlinger(  368): Using composer version 1.5
03-03 07:01:55.264 I/qdhwcomposer(  368): hwc_registerProcs
03-03 07:01:55.264 I/qdhwcomposer(  368): Initializing UEVENT Thread
03-03 07:01:55.264 I/qdhwcomposer(  368): Initializing VSYNC Thread
03-03 07:01:55.264 D/qdhwcomposer(  368): hwc_getDisplayAttributes disp = 0, width = 1080
03-03 07:01:55.264 D/qdhwcomposer(  368): hwc_getDisplayAttributes disp = 0, height = 1920
03-03 07:01:55.264 I/qdhwcomposer(  368): vsync_loop: Reading event 0 for dpy 0 from /sys/class/graphics/fb0/vsync_event
03-03 07:01:55.264 E/qdhwcomposer(  368): hwc_getDisplayConfigs display (1) is inactive
03-03 07:01:55.264 I/qdhwcomposer(  368): vsync_loop: Reading event 1 for dpy 0 from /sys/class/graphics/fb0/show_blank_event
03-03 07:01:55.264 I/qdhwcomposer(  368): vsync_loop: Reading event 2 for dpy 0 from /sys/class/graphics/fb0/msm_fb_thermal_level
03-03 07:01:55.264 I/qdhwcomposer(  368): vsync_loop: Reading event 0 for dpy 1 from /sys/class/graphics/fb-1/vsync_event
03-03 07:01:55.264 I/qdhwcomposer(  368): vsync_loop: Reading event 1 for dpy 1 from /sys/class/graphics/fb-1/show_blank_event
03-03 07:01:55.264 I/qdhwcomposer(  368): vsync_loop: Reading event 2 for dpy 1 from /sys/class/graphics/fb-1/msm_fb_thermal_level
03-03 07:01:55.265 I/SurfaceFlinger(  368): EGL information:
03-03 07:01:55.265 I/SurfaceFlinger(  368): vendor    : Android
03-03 07:01:55.265 I/SurfaceFlinger(  368): version   : 1.4 Android META-EGL
03-03 07:01:55.265 I/SurfaceFlinger(  368): extensions: EGL_KHR_get_all_proc_addresses EGL_ANDROID_presentation_time EGL_KHR_swap_buffers_with_damage EGL_KHR_image EGL_KHR_image_base EGL_KHR_lock_surface EGL_KHR_gl_texture_2D_image EGL_KHR_gl_texture_3D_image EGL_KHR_gl_texture_cubemap_image EGL_KHR_gl_renderbuffer_image EGL_KHR_reusable_sync EGL_KHR_fence_sync EGL_KHR_create_context EGL_KHR_surfaceless_context EGL_EXT_create_context_robustness EGL_ANDROID_image_native_buffer EGL_KHR_wait_sync EGL_ANDROID_recordable EGL_KHR_partial_update EGL_KHR_create_context_no_error 
03-03 07:01:55.266 I/SurfaceFlinger(  368): Client API: OpenGL_ES
03-03 07:01:55.266 I/SurfaceFlinger(  368): EGLSurface: 8-8-8-8, config=0x7f7e051900
03-03 07:01:55.270 I/SurfaceFlinger(  368): OpenGL ES informations:
03-03 07:01:55.270 I/SurfaceFlinger(  368): vendor    : Qualcomm
03-03 07:01:55.270 I/SurfaceFlinger(  368): renderer  : Adreno (TM) 418
03-03 07:01:55.270 I/SurfaceFlinger(  368): version   : OpenGL ES 3.1 V@127.0 (GIT@I8366cd0437)
03-03 07:01:55.270 I/SurfaceFlinger(  368): extensions: GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_EGL_sync GL_OES_vertex_half_float GL_OES_framebuffer_object GL_OES_rgb8_rgba8 GL_OES_compressed_ETC1_RGB8_texture GL_AMD_compressed_ATC_texture GL_KHR_texture_compression_astc_ldr GL_OES_texture_npot GL_EXT_texture_filter_anisotropic GL_EXT_texture_format_BGRA8888 GL_OES_texture_3D GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_QCOM_alpha_test GL_OES_depth24 GL_OES_packed_depth_stencil GL_OES_depth_texture GL_OES_depth_texture_cube_map GL_EXT_sRGB GL_OES_texture_float GL_OES_texture_float_linear GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_EXT_texture_type_2_10_10_10_REV GL_EXT_texture_sRGB_decode GL_OES_element_index_uint GL_EXT_copy_image GL_EXT_geometry_shader GL_EXT_tessellation_shader GL_OES_texture_stencil8 GL_EXT_shader_io_blocks GL_OES_shader_image_atomic GL_OES_sample_variables GL_EXT_texture_border_clamp GL_EXT_multisampled_render_to_texture GL_OES_shader_multisample_interpolation GL_EXT_texture_cube_map_arr
03-03 07:01:55.271 I/SurfaceFlinger(  368): GL_MAX_TEXTURE_SIZE = 16384
03-03 07:01:55.271 I/SurfaceFlinger(  368): GL_MAX_VIEWPORT_DIMS = 16384
03-03 07:01:55.272 D/SurfaceFlinger(  368): Set power mode=2, type=0 flinger=0x7f7e043c00
03-03 07:01:55.272 D/qdhwcomposer(  368): hwc_setPowerMode: Setting mode 2 on display: 0
03-03 07:01:55.273 D/qdhwcomposer(  368): hwc_setPowerMode: Done setting mode 2 on display 0
03-03 07:01:55.273 I/qdhwcomposer(  368): handle_blank_event: dpy:0 panel power state: 1
03-03 07:01:55.377 D/vold    (  338): Disk at 253:0 changed
03-03 07:01:55.408 D/libEGL  (  429): loaded /vendor/lib64/egl/libEGL_adreno.so
03-03 07:01:55.448 D/libEGL  (  429): loaded /vendor/lib64/egl/libGLESv1_CM_adreno.so
03-03 07:01:55.456 D/libEGL  (  429): loaded /vendor/lib64/egl/libGLESv2_adreno.so
03-03 07:01:55.465 I/Adreno  (  429): QUALCOMM build                   : 63c06b2, I8366cd0437
03-03 07:01:55.465 I/Adreno  (  429): Build Date                       : 10/21/15
03-03 07:01:55.465 I/Adreno  (  429): OpenGL ES Shader Compiler Version: XE031.05.13.02
03-03 07:01:55.465 I/Adreno  (  429): Local Branch                     : 
03-03 07:01:55.465 I/Adreno  (  429): Remote Branch                    : quic/LA.BF64.1.2.9_v2
03-03 07:01:55.465 I/Adreno  (  429): Remote Branch                    : NONE
03-03 07:01:55.465 I/Adreno  (  429): Reconstruct Branch               : NOTHING
03-03 07:01:55.483 E/BootAnimation(  429): couldn't find audio_conf.txt
03-03 07:01:55.522 I/Cryptfs (  338): keymaster module name is Keymaster QTI HAL
03-03 07:01:55.522 I/Cryptfs (  338): keymaster version is 256
03-03 07:01:55.522 I/Cryptfs (  338): Found keymaster1 module, using keymaster1 API.
03-03 07:01:55.523 D/QSEECOMAPI: (  338): QSEECom_get_handle sb_length = 0xa000
03-03 07:01:55.523 D/QSEECOMAPI: (  338): App is already loaded QSEE and app id = 3
03-03 07:01:55.525 E/keymaster1_device(  338): TA API Major Verion: 1
03-03 07:01:55.525 E/keymaster1_device(  338): TA API Minor Verion: 0
03-03 07:01:55.525 E/keymaster1_device(  338): TA Major Verion: 1
03-03 07:01:55.526 E/keymaster1_device(  338): TA Minor Verion: 5
03-03 07:01:55.526 I/Cryptfs (  338): Signing safely-padded object
03-03 07:01:55.565 D/DrmLibTime(  383): got the req here! ret=0
03-03 07:01:55.565 D/DrmLibTime(  383): command id, time_cmd_id = 770
03-03 07:01:55.565 D/DrmLibTime(  383): time_getutcsec starts!
03-03 07:01:55.565 D/DrmLibTime(  383): QSEE Time Listener: time_getutcsec
03-03 07:01:55.565 D/DrmLibTime(  383): QSEE Time Listener: get_utc_seconds
03-03 07:01:55.566 D/DrmLibTime(  383): QSEE Time Listener: time_get_modem_time
03-03 07:01:55.566 D/DrmLibTime(  383): QSEE Time Listener: Checking if ATS_MODEM is set or not.
03-03 07:01:55.566 D/QC-time-services(  383): Lib:time_genoff_operation: pargs->base = 13
03-03 07:01:55.566 D/QC-time-services(  383): Lib:time_genoff_operation: pargs->operation = 2
03-03 07:01:55.566 D/QC-time-services(  383): Lib:time_genoff_operation: pargs->ts_val = 0
03-03 07:01:55.566 E/QC-time-services(  383): Lib:time_genoff_operation: Connection failed !!
03-03 07:01:55.566 D/DrmLibTime(  383): QSEE Time Listener: ATS_MODEM is not set. Fallback to Android system time.
03-03 07:01:55.566 D/DrmLibTime(  383): QSEE Time Listener: Retrieved Android system time: 5292115
03-03 07:01:55.566 D/DrmLibTime(  383): time_getutcsec returns 0, sec = 5292115; nsec = 0
03-03 07:01:55.566 D/DrmLibTime(  383): time_getutcsec finished! 
03-03 07:01:55.566 D/DrmLibTime(  383): iotcl_continue_command finished! and return 0 
03-03 07:01:55.566 D/DrmLibTime(  383): before calling ioctl to read the next time_cmd
03-03 07:01:55.621 E/keymaster1_device(  338): HwKmClose
03-03 07:01:55.622 D/QSEECOMAPI: (  338): QSEECom_dealloc_memory 
03-03 07:01:55.623 D/QSEECOMAPI: (  338): QSEECom_shutdown_app, app_id = 3
03-03 07:01:56.066 D/SurfaceFlinger(  368): shader cache generated - 24 shaders in 390.734955 ms
03-03 07:01:56.080 D/qdutils (  368): DEBUG_CALC_FPS: 0
03-03 07:01:56.080 D/qdutils (  368): period: 10
03-03 07:01:56.080 D/qdutils (  368): ignorethresh_us: 500000
03-03 07:01:56.127 I/Cryptfs (  338): Enabling support for allow_discards in dmcrypt.
03-03 07:01:56.128 D/vold    (  338): Disk at 253:2 changed
03-03 07:01:56.622 I/Cryptfs (  338): Password matches
03-03 07:01:56.622 D/Cryptfs (  338): test_mount_encrypted_fs(): Master key saved
03-03 07:01:56.622 I/Cryptfs (  338): keymaster module name is Keymaster QTI HAL
03-03 07:01:56.622 I/Cryptfs (  338): keymaster version is 256
03-03 07:01:56.622 I/Cryptfs (  338): Found keymaster1 module, using keymaster1 API.
03-03 07:01:56.623 D/QSEECOMAPI: (  338): QSEECom_get_handle sb_length = 0xa000
03-03 07:01:56.623 D/QSEECOMAPI: (  338): App is already loaded QSEE and app id = 3
03-03 07:01:56.624 E/keymaster1_device(  338): TA API Major Verion: 1
03-03 07:01:56.624 E/keymaster1_device(  338): TA API Minor Verion: 0
03-03 07:01:56.624 E/keymaster1_device(  338): TA Major Verion: 1
03-03 07:01:56.624 E/keymaster1_device(  338): TA Minor Verion: 5
03-03 07:01:56.624 E/keymaster1_device(  338): HwKmClose
03-03 07:01:56.624 D/QSEECOMAPI: (  338): QSEECom_dealloc_memory 
03-03 07:01:56.624 D/QSEECOMAPI: (  338): QSEECom_shutdown_app, app_id = 3
03-03 07:01:56.624 D/Cryptfs (  338): Password is default - restarting filesystem
03-03 07:01:56.624 D/Cryptfs (  338): unmounting /data succeeded
03-03 07:01:56.633 D/PerMgrSrv(  370): modem new state: is on-line
03-03 07:01:56.704 I/rmt_storage(  369): rmt_storage_connect_cb: clnt_h=0x1 conn_h=0x7fb477a000
03-03 07:01:56.705 I/rmt_storage(  369): rmt_storage_open_cb: /boot/modem_fs1: clnt_h=0x1: req_h=0x1 msg_id=1: Client found
03-03 07:01:56.705 I/rmt_storage(  369): rmt_storage_client_thread: /boot/modem_fs1: clnt_h=0x1 Worker thread started
03-03 07:01:56.705 I/rmt_storage(  369): rmt_storage_open_cb: /boot/modem_fs1: clnt_h=0x1: req_h=0x1 msg_id=1: Send response: res=0 err=0
03-03 07:01:56.705 I/rmt_storage(  369): wake lock name: rmt_storage_548484936768, name creation success: 24
03-03 07:01:56.705 I/rmt_storage(  369): rmt_storage_connect_cb: clnt_h=0x2 conn_h=0x7fb477a010
03-03 07:01:56.705 I/rmt_storage(  369): rmt_storage_open_cb: /boot/modem_fs2: clnt_h=0x2: req_h=0x2 msg_id=1: Client found
03-03 07:01:56.705 I/rmt_storage(  369): rmt_storage_client_thread: /boot/modem_fs2: clnt_h=0x2 Worker thread started
03-03 07:01:56.705 I/rmt_storage(  369): rmt_storage_open_cb: /boot/modem_fs2: clnt_h=0x2: req_h=0x2 msg_id=1: Send response: res=0 err=0
03-03 07:01:56.705 I/rmt_storage(  369): wake lock name: rmt_storage_548483892288, name creation success: 24
03-03 07:01:56.705 I/rmt_storage(  369): rmt_storage_disconnect_cb: clnt_h=0x1 conn_h=0x7fb477a000
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_disconnect_cb: clnt_h=0x2 conn_h=0x7fb477a010
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_connect_cb: clnt_h=0x3 conn_h=0x7fb477a010
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_open_cb: /boot/modem_fsg: clnt_h=0x3: req_h=0x3 msg_id=1: Client found
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_client_thread: /boot/modem_fsg: clnt_h=0x3 Worker thread started
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_open_cb: /boot/modem_fsg: clnt_h=0x3: req_h=0x3 msg_id=1: Send response: res=0 err=0
03-03 07:01:56.706 I/rmt_storage(  369): wake lock name: rmt_storage_548482847808, name creation success: 24
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_disconnect_cb: clnt_h=0x3 conn_h=0x7fb477a010
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_connect_cb: clnt_h=0x4 conn_h=0x7fb477a010
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_open_cb: /boot/modem_fsc: clnt_h=0x4: req_h=0x4 msg_id=1: Client found
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_client_thread: /boot/modem_fsc: clnt_h=0x4 Worker thread started
03-03 07:01:56.706 I/rmt_storage(  369): rmt_storage_open_cb: /boot/modem_fsc: clnt_h=0x4: req_h=0x4 msg_id=1: Send response: res=0 err=0
03-03 07:01:56.706 I/rmt_storage(  369): wake lock name: rmt_storage_548481803328, name creation success: 24
03-03 07:01:56.707 I/rmt_storage(  369): rmt_storage_disconnect_cb: clnt_h=0x4 conn_h=0x7fb477a010
03-03 07:01:56.707 I/rmt_storage(  369): rmt_storage_connect_cb: clnt_h=0x5 conn_h=0x7fb477a010
03-03 07:01:56.707 I/rmt_storage(  369): rmt_storage_alloc_buff_cb: /boot/modem_fs1: clnt_h=0x1: req_h=0x5 msg_id=4: Alloc request received: Size: 0
03-03 07:01:56.707 I/rmt_storage(  369): rmt_storage_alloc_buff_cb: /boot/modem_fs1: clnt_h=0x1: req_h=0x5 msg_id=4: New client making a dummy request with buffer req size 0
03-03 07:01:56.707 I/rmt_storage(  369): rmt_storage_alloc_buff_cb: /boot/modem_fs1: clnt_h=0x1: req_h=0x5 msg_id=4: Send response: res=0 err=0
03-03 07:01:56.707 I/rmt_storage(  369): rmt_storage_disconnect_cb: clnt_h=0x5 conn_h=0x7fb477a010
03-03 07:01:56.708 I/rmt_storage(  369): rmt_storage_connect_cb: clnt_h=0x6 conn_h=0x7fb477a010
03-03 07:01:56.708 I/rmt_storage(  369): rmt_storage_rw_iovec_cb: /boot/modem_fs1: clnt_h=0x1: req_h=0x6 msg_id=3: R/W request received
03-03 07:01:56.708 I/rmt_storage(  369): wakelock acquired: 1, error no: 42
